Telah	0
menceritakan	0
kepada	0
kami	0
Al	PERSON
Humaidi	PERSON
Abdullah	PERSON
bin	PERSON
Az	PERSON
Zubair	PERSON
dia	0
berkata	0
,	0
Telah	0
menceritakan	0
kepada	0
kami	0
Sufyan	PERSON
yang	0
berkata	0
,	0
bahwa	0
Telah	0
menceritakan	0
kepada	0
kami	0
Yahya	PERSON
bin	PERSON
Sa'id	PERSON
Al	PERSON
Anshari	PERSON
berkata	0
,	0
telah	0
mengabarkan	0
kepada	0
kami	0
Muhammad	PERSON
bin	PERSON
Ibrahim	PERSON
At	PERSON
Taimi	PERSON
,	0
bahwa	0
dia	0
pernah	0
mendengar	0
Alqamah	PERSON
bin	PERSON
Waqash	PERSON
Al	PERSON
Laitsi	PERSON
berkata	0
;	0
saya	0
pernah	0
mendengar	0
Umar	PERSON
bin	PERSON
Al	PERSON
Khaththab	PERSON
diatas	0
mimbar	0
berkata	0
;	0
saya	0
mendengar	0
Rasulullah	0
shallallahu	0
'alaihi	0
wasallam	0
bersabda	0
:	0
"	0
Semua	0
perbuatan	0
tergantung	0
niatnya	0
,	0
dan	0
(	0
balasan	0
)	0
bagi	0
tiap	0
-	0
tiap	0
orang	0
(	0
tergantung	0
)	0
apa	0
yang	0
diniatkan	0
;	0
Barangsiapa	0
niat	0
hijrahnya	0
karena	0
dunia	0
yang	0
ingin	0
digapainya	0
atau	0
karena	0
seorang	0
perempuan	0
yang	0
ingin	0
dinikahinya	0
,	0
maka	0
hijrahnya	0
adalah	0
kepada	0
apa	0
dia	0
diniatkan	0
"	0
Telah	0
menceritakan	0
kepada	0
kami	0
Abdullah	PERSON
bin	PERSON
Yusuf	PERSON
berkata	0
,	0
telah	0
mengabarkan	0
kepada	0
kami	0
Malik	PERSON
dari	0
Hisyam	PERSON
bin	PERSON
'Urwah	PERSON
dari	0
bapaknya	0
dari	0
Aisyah	PERSON
Ibu	0
Kaum	0
Mu'minin	0
,	0
bahwa	0
Al	PERSON
Harits	PERSON
bin	PERSON
Hisyam	PERSON
bertanya	0
kepada	0
Rasulullah	0
shallallahu	0
'alaihi	0
wasallam	0
:	0
"	0
Wahai	0
Rasulullah	0
,	0
bagaimana	0
caranya	0
wahyu	0
turun	0
kepada	0
engkau	0
?	0
"	0
Maka	0
Rasulullah	0
shallallahu	0
